,accuracy,level,L2Norm,RMSerror,grid_points,adaptive,train_data
0,0.00467104101965,2,0.966544465573,0.00764416923184,19,Level: 2 adaptive: 1,1000
0,0.0057370796469,3,1.07117502276,0.0106007736648,199,Level: 3 adaptive: 0,1000
0,0.0057370796469,3,1.07117502276,0.0106007736648,199,Level: 3 adaptive: 1,1000
0,0.113509861312,4,4.76465867218,0.278112497057,1519,Level: 4 adaptive: 0,1000
0,0.113509861312,4,4.76465867218,0.278112497057,1519,Level: 4 adaptive: 1,1000
0,0.0162926074392,1,1.89324420945,0.0285171399272,1,Level: 1 adaptive: 0,1100
0,0.0162926074392,1,1.89324420945,0.0285171399272,1,Level: 1 adaptive: 1,1100
0,0.00511455536622,2,1.06075547633,0.00857859183743,19,Level: 2 adaptive: 0,1100
0,0.00511455536622,2,1.06075547633,0.00857859183743,19,Level: 2 adaptive: 1,1100
0,0.00459347494686,3,1.00526836631,0.00813205093619,199,Level: 3 adaptive: 0,1100
0,0.00459347494686,3,1.00526836631,0.00813205093619,199,Level: 3 adaptive: 1,1100
0,0.059023863584,4,3.60350523636,0.147698535868,1519,Level: 4 adaptive: 0,1100
0,0.059023863584,4,3.60350523636,0.147698535868,1519,Level: 4 adaptive: 1,1100
0,0.0197969233513,1,2.17973888443,0.0354836682484,1,Level: 1 adaptive: 0,1200
0,0.0197969233513,1,2.17973888443,0.0354836682484,1,Level: 1 adaptive: 1,1200
0,0.00526504553182,2,1.12410450032,0.00912585817152,19,Level: 2 adaptive: 0,1200
0,0.00526504553182,2,1.12410450032,0.00912585817152,19,Level: 2 adaptive: 1,1200
0,0.00474115890535,3,1.06671370915,0.00845782239427,199,Level: 3 adaptive: 0,1200
0,0.00474115890535,3,1.06671370915,0.00845782239427,199,Level: 3 adaptive: 1,1200
0,0.0500983485239,4,3.46750683427,0.112696062442,1519,Level: 4 adaptive: 0,1200
0,0.0500983485239,4,3.46750683427,0.112696062442,1519,Level: 4 adaptive: 1,1200
0,0.0196422766572,1,2.25986546743,0.0395892302796,1,Level: 1 adaptive: 0,1300
0,0.0196422766572,1,2.25986546743,0.0395892302796,1,Level: 1 adaptive: 1,1300
0,0.00516518188209,2,1.15885602615,0.00907686134612,19,Level: 2 adaptive: 0,1300
0,0.00516518188209,2,1.15885602615,0.00907686134612,19,Level: 2 adaptive: 1,1300
0,0.00414427187159,3,1.03803212215,0.00706477951607,199,Level: 3 adaptive: 0,1300
0,0.00414427187159,3,1.03803212215,0.00706477951607,199,Level: 3 adaptive: 1,1300
0,0.050160281909,4,3.6113256979,0.146655285784,1519,Level: 4 adaptive: 0,1300
0,0.050160281909,4,3.6113256979,0.146655285784,1519,Level: 4 adaptive: 1,1300
0,0.025030671908,1,2.64737381838,0.0625519279928,1,Level: 1 adaptive: 0,1400
0,0.025030671908,1,2.64737381838,0.0625519279928,1,Level: 1 adaptive: 1,1400
0,0.00583549367034,2,1.278255932,0.0137796306123,19,Level: 2 adaptive: 0,1400
0,0.00583549367034,2,1.278255932,0.0137796306123,19,Level: 2 adaptive: 1,1400
0,0.00478221796409,3,1.15716076236,0.00905878782407,199,Level: 3 adaptive: 0,1400
0,0.00478221796409,3,1.15716076236,0.00905878782407,199,Level: 3 adaptive: 1,1400
0,0.0245473473189,4,2.62168976984,0.0636219793439,1519,Level: 4 adaptive: 0,1400
0,0.0245473473189,4,2.62168976984,0.0636219793439,1519,Level: 4 adaptive: 1,1400
0,0.0227897893618,1,2.61475368028,0.0555332078856,1,Level: 1 adaptive: 0,1500
0,0.0227897893618,1,2.61475368028,0.0555332078856,1,Level: 1 adaptive: 1,1500
0,0.00523708448523,2,1.25344538994,0.0110874043124,19,Level: 2 adaptive: 0,1500
0,0.00523708448523,2,1.25344538994,0.0110874043124,19,Level: 2 adaptive: 1,1500
0,0.00448641032381,3,1.16013925765,0.00773993505467,199,Level: 3 adaptive: 0,1500
0,0.00448641032381,3,1.16013925765,0.00773993505467,199,Level: 3 adaptive: 1,1500
0,0.0257284920641,4,2.77822742396,0.0593305452094,1519,Level: 4 adaptive: 0,1500
0,0.0257284920641,4,2.77822742396,0.0593305452094,1519,Level: 4 adaptive: 1,1500
0,0.0199268134614,1,0.631297290686,0.0407776195518,1,Level: 1 adaptive: 0,100
0,0.0199268134614,1,0.631297290686,0.0407776195518,1,Level: 1 adaptive: 1,100
0,0.00710505892285,2,0.376963099596,0.0116797880523,19,Level: 2 adaptive: 0,100
0,0.00710505892285,2,0.376963099596,0.0116797880523,19,Level: 2 adaptive: 1,100
0,0.0193927287038,3,0.622779715531,0.038450632627,199,Level: 3 adaptive: 0,100
0,0.0193927287038,3,0.622779715531,0.038450632627,199,Level: 3 adaptive: 1,100
0,0.01104846616,4,0.470073742301,0.0176222642141,1519,Level: 4 adaptive: 0,100
0,0.01104846616,4,0.470073742301,0.0176222642141,1519,Level: 4 adaptive: 1,100
0,0.0222910563757,1,0.94426810548,0.0372525742101,1,Level: 1 adaptive: 0,200
0,0.0222910563757,1,0.94426810548,0.0372525742101,1,Level: 1 adaptive: 1,200
0,0.00423775886881,2,0.411716352301,0.0067763277586,19,Level: 2 adaptive: 0,200
0,0.00423775886881,2,0.411716352301,0.0067763277586,19,Level: 2 adaptive: 1,200
0,0.17547157002,3,2.64931364712,0.30820881775,199,Level: 3 adaptive: 0,200
0,0.17547157002,3,2.64931364712,0.30820881775,199,Level: 3 adaptive: 1,200
0,0.0107220102393,4,0.654889616325,0.0195010391009,1519,Level: 4 adaptive: 0,200
0,0.0107220102393,4,0.654889616325,0.0195010391009,1519,Level: 4 adaptive: 1,200
0,0.023317385163,1,1.18281152758,0.0533605522105,1,Level: 1 adaptive: 0,300
0,0.023317385163,1,1.18281152758,0.0533605522105,1,Level: 1 adaptive: 1,300
0,0.00591813285392,2,0.595892583638,0.0116798679864,19,Level: 2 adaptive: 0,300
0,0.00591813285392,2,0.595892583638,0.0116798679864,19,Level: 2 adaptive: 1,300
0,0.0132730041257,3,0.892401393738,0.0313440139193,199,Level: 3 adaptive: 0,300
0,0.0132730041257,3,0.892401393738,0.0313440139193,199,Level: 3 adaptive: 1,300
0,0.0220076113734,4,1.14911125763,0.0460961506173,1519,Level: 4 adaptive: 0,300
0,0.0220076113734,4,1.14911125763,0.0460961506173,1519,Level: 4 adaptive: 1,300
0,0.0333560570147,1,1.63354968127,0.0835237089801,1,Level: 1 adaptive: 0,400
0,0.0333560570147,1,1.63354968127,0.0835237089801,1,Level: 1 adaptive: 1,400
0,0.00643034346248,2,0.717235998119,0.0138555316601,19,Level: 2 adaptive: 0,400
0,0.00643034346248,2,0.717235998119,0.0138555316601,19,Level: 2 adaptive: 1,400
0,0.00656312040077,3,0.724603085876,0.0129946768697,199,Level: 3 adaptive: 0,400
0,0.00656312040077,3,0.724603085876,0.0129946768697,199,Level: 3 adaptive: 1,400
0,0.0177261052924,4,1.19083517894,0.0321399278621,1519,Level: 4 adaptive: 0,400
0,0.0177261052924,4,1.19083517894,0.0321399278621,1519,Level: 4 adaptive: 1,400
0,0.0236340217991,1,1.53733606603,0.0686242524045,1,Level: 1 adaptive: 0,500
0,0.0236340217991,1,1.53733606603,0.0686242524045,1,Level: 1 adaptive: 1,500
0,0.00607254977669,2,0.779265665655,0.0153533613572,19,Level: 2 adaptive: 0,500
0,0.00607254977669,2,0.779265665655,0.0153533613572,19,Level: 2 adaptive: 1,500
0,0.00452516191708,3,0.672693237447,0.00748388586455,199,Level: 3 adaptive: 0,500
0,0.00452516191708,3,0.672693237447,0.00748388586455,199,Level: 3 adaptive: 1,500
0,0.0302875103804,4,1.74033072663,0.0542883271699,1519,Level: 4 adaptive: 0,500
0,0.0302875103804,4,1.74033072663,0.0542883271699,1519,Level: 4 adaptive: 1,500
0,0.0208938533223,1,1.58343373675,0.0579244633865,1,Level: 1 adaptive: 0,600
0,0.0208938533223,1,1.58343373675,0.0579244633865,1,Level: 1 adaptive: 1,600
0,0.00571519701701,2,0.828144698734,0.0124398365597,19,Level: 2 adaptive: 0,600
0,0.00571519701701,2,0.828144698734,0.0124398365597,19,Level: 2 adaptive: 1,600
0,0.00625901574961,3,0.866649808142,0.0119784069316,199,Level: 3 adaptive: 0,600
0,0.00625901574961,3,0.866649808142,0.0119784069316,199,Level: 3 adaptive: 1,600
